고후 5:17	중심되신 그리스도	그런즉 누구든지 그리스도안에 있으면 새로운 피조물이라. 이전 것은 지나갔으니 보라, 새것이 되었도다.	A. 새로운 삶 - 01	Christ the Center	Therefore, if anyone is in Christ, he is a new creation; the old has gone, the new has come!
롬 1:16	증거	내가 복음을 부끄러워하지 아니하노니 이 *복음은 모든 믿는 자에게 구원을 주시는 하나님의 능력이 됨이라 첫째는 유대인에게요 또한 헬라인에게로다.	A. 새로운 삶 - 12		I am not ashamed of the gospel, because it is the power of God for the salvation of everyone who believes: first for the Jew, then for the Gentile. 
롬 3:23	모든 사람이 죄를 범함	모든 사람이 죄를 범하였으매 하나님의 영광에 이르지 못하더니.	B. 그리스도를 전파함 - 01	for all have sinned and fall short of the glory of God	
사53: 6	모든 사람이 죄를 범함	우리는 다 양 같아서 그릇 행하여 각기 제 길로 갔거늘 여호와께서는 우리 무리의 죄악을 그에게 담당시키셨도다.	B. 그리스도를 전파함 - 02		We all, like sheep, have gone astray, each of us has turned to his own way; and the Lord has laid on him the iniquity of us all. 
롬 6:23	죄의 형벌	죄의 삯은 사망이요, 하나님의 은사는 그리스도 예수 우리 주 안에 있는 영생이니라.	B. 그리스도를 전파함 - 03	For the wages of sin is death, but the gift of God is eternal life in Christ Jesus our Lord. 	
히 9:27	죄의 형벌	한 번 죽는 것은 사람에게 정하신 것이요 그 후에는 심판이 있으리니.	B. 그리스도를 전파함 - 04	Just as man is destined to die once, and after that to face judgment, 	
롬 5: 8	그리스도가 형벌을 받음	우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로 하나님께서 우리에게 대한 자기의 사랑을 확증하셨느니라.	B. 그리스도를 전파함 - 05		But God demonstrates his own love for us in this: While we were still sinners, Christ died for us. 
벧전 3:18*	그리스도가 형벌을 받음	그리스도께서도 한 번 죄를 위하여 죽으사 의인으로서 불의한 자를 대신 하셨으니, 이는 우리를 하나님 앞으로 인도하려 하심이라. 육체로는 죽임을 당하시고 영으로는 살리심을 받으셨으니.	B. 그리스도를 전파함 - 06	For Christ died for sins once for all, the righteous for the unrighteous, to bring you to God. He was put to death in the body but made alive by the Spirit, 	
엡 2: 8,9	선행으로 구원받지 못함	너희가 그 은혜를 인하여 믿음으로 말미암아 구원을 얻었나니, 이것이 너희에게서 난 것이 아니요 하나님의 선물이라 행위에서 난 것이 아니니, 이는 누구든지 자랑치 못하게 함이니라.	B. 그리스도를 전파함 - 07		For it is by grace you have been saved, through faith--and this not from yourselves, it is the gift of God--not by works, so that no one can boast.
딛 3: 5	선행으로 구원받지 못함	우리를 구원하시되 우리의 행한 바 의로운 행위로 말미암지 아니하고, 오직 그의 긍휼하심을 좇아 중생의 씻음과 성령의 새롭게 하심으로 하셨나니.	B. 그리스도를 전파함 - 08		he saved us, not because of righteous things we had done, but because of his mercy. He saved us through the washing of rebirth and renewal by the Holy Spirit, 
요 1:12	그리스도를 모셔야 함	영접하는 자 곧 그 이름을 믿는 자들에게는 하나님의 자녀가 되는 권세를 주셨으니.	B. 그리스도를 전파함 - 09	Yet to all who received him, to those who believed in his name, he gave the right to become children of God	
계 3:20	그리스도를 모셔야 함	볼찌어다, 내가 문 밖에 서서 두드리노니, 누구든지 내 음성을 듣고 문을 열면 내가 그에게로 들어가 그로 더불어 먹고 그는 나로 더불어 먹으리라.	B. 그리스도를 전파함 - 10	Here I am! I stand at the door and knock. If anyone hears my voice and opens the door, I will come in and eat with him, and he with me. 	
요일 5:13	구원의 확신	내가 하나님의 아들의 이름을 믿는 너희에게 이것을 쓴 것은, 너희로 하여금 너희에게 영생이 있음을 알게 하려 함이라.	B. 그리스도를 전파함 - 11		I write these things to you who believe in the name of the Son of God so that you may know that you have eternal life.
요 5:24	구원의 확신	내가 진실로 진실로 너희에게 이르노니, 내 말을 듣고 또 나 보내신 이를 믿는 자는, 영생을 얻었고 심판에 이르지 아니하나니 사망에서 생명으로 옮겼느니라.	B. 그리스도를 전파함 - 12	I assure you, those who listen to my message and believe in God who sent me have eternal life. They will never be condemned for their sins, but they have already passed from death into life.	
고전 3:16	성령	너희가 하나님의 성전인 것과 하나님의 성령이 너희 안에 거하시는 것을 알지 못하느뇨.	C. 하나님을 의뢰함 - 01		Don't you know that you yourselves are God's temple and that God's Spirit lives in you? 
고전 2:12*	성령	*우리가 세상의 영을 받지 아니하고 오직 하나님께로 온 영을 받았으니, 이는 우리로 하여금 하나님께서 우리에게 은혜로 주신 것들을 알게 하려 하심이라.	C. 하나님을 의뢰함 - 02		We have not received the spirit of the world but the Spirit who is from God, that we may understand what God has freely given us. 
사41:10	능력	두려워 말라. 내가 너와 함께 함이니라. 놀라지 말라. 나는 네 하나님이 됨이니라. 내가 너를 굳세게 하리라. 참으로 너를 도와 주리라. 참으로 나의 의로운 오른손으로 너를 붙들리라.	C. 하나님을 의뢰함 - 03		So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand.
빌 4:13	능력	내게 능력 주시는 자 안에서 내가 모든 것을 할 수 있느니라.	C. 하나님을 의뢰함 - 04		I can do everything through him who gives me strength. 
애 3:22,23	성실	여호와의 자비와 긍휼이 무궁하시므로 우리가 진멸되지 아니함이니이다. 이것이 아침마다 새로우니 주의 성실이 크도소이다.	C. 하나님을 의뢰함 - 05		Because of the Lord 's great love we are not consumed, for his compassions never fail.@&They are new every morning; great is your faithfulness.
민23:19	성실	하나님은 인생이 아니시니 식언치 않으시고, 인자가 아니시니 후회가 없으시도다. 어찌 그 말씀하신 바를 행치 않으시며, 하신 말씀을 실행치 않으시랴.	C. 하나님을 의뢰함 - 06	God is not a man, that he should lie, nor a son of man, that he should change his mind. Does he speak and then not act? Does he promise and not fulfill? 	
사26: 3	평안	주께서 심지가 견고한 자를 평강에 평강으로 지키시리니, 이는 그가 주를 의뢰함이니이다.	C. 하나님을 의뢰함 - 07	You will keep in perfect peace him whose mind is steadfast, because he trusts in you. 	
벧전 5: 7	평안	너희 염려를 다 주께 맡겨 버리라. 이는 저가 너희를 권고하심이니라.	C. 하나님을 의뢰함 - 08	Cast all your anxiety on him because he cares for you.	
롬 8:32	공급	자기 아들을 아끼지 아니하시고 우리 모든 사람을 위하여 내어주신 이가 어찌 그 아들과 함께 모든 것을 우리에게 은사로 주지 아니하시겠느뇨..	C. 하나님을 의뢰함 - 09	He who did not spare his own Son, but gave him up for us all--how will he not also, along with him, graciously give us all things? 	
빌 4:19	공급	나의 하나님이 그리스도 예수 안에서 영광 가운데 그 풍성한 대로 *너희 모든 쓸 것을 채우시리라.	C. 하나님을 의뢰함 - 10		And my God will meet all your needs according to his glorious riches in Christ Jesus.
히 2:18	유혹에서 도우심	자기가 시험을 받아 고난을 당하셨은즉 시험받는 자들을 능히 도우시느니라.	C. 하나님을 의뢰함 - 11		Because he himself suffered when he was tempted, he is able to help those who are being tempted. 
시119:9,11	유혹에서 도우심	청년이 무엇으로 그 행실을 깨끗케 하리이까. 주의 말씀을 따라 삼갈 것이니이다. 내가 주께 범죄치 아니하려 하여 주의 말씀을 내 마음에 두었나이다.	C. 하나님을 의뢰함 - 12	How can a young man keep his way pure? By living according to your word. 	I have hidden your word in my heart that I might not sin against you. 
마 6:33	그리스도를 첫 자리에 모심	너희는 먼저 그의 나라와 그의 의를 구하라. 그리하면 이 모든 것을 너희에게 더하시리라.	D. 그리스도 제자의 자격 - 01	But seek first his kingdom and his righteousness, and all these things will be given to you as well. 	
눅 9:23	그리스도를 첫 자리에 모심	*또 무리에게 이르시되, 아무든지 나를 따라 오려거든 자기를 부인하고 날마다 제 십자가를 지고 나를 좇을 것이니라.	D. 그리스도 제자의 자격 - 02	Then he said to them all: " If anyone would come after me, he must deny himself and take up his cross daily and follow me. 	
요일 2:15,16	죄에서 떠남	이 세상이나 세상에 있는 것들을 사랑치 말라. 누구든지 세상을 사랑하면 아버지의 사랑이 그 속에 있지 아니하니, 이는 세상에 있는 모든 것이 육신의 정욕과 안목의 정욕과 이생의 자랑이니, 다 아버지께로 좇아 온 것이 아니요, 세상으로 좇아 온 것이라.	D. 그리스도 제자의 자격 - 03	Do not love the world or anything in the world. If anyone loves the world, the love of the Father is not in him.	For everything in the world--the cravings of sinful man, the lust of his eyes and the boasting of what he has and does--comes not from the Father but from the world. 
롬12: 2*	죄에서 떠남	너희는 이 세대를 본받지 말고 오직 마음을 새롭게 함으로 변화를 받아 하나님의 선하시고 기뻐하시고 온전하신 뜻이 무엇인지 분별하도록 하라.	D. 그리스도 제자의 자격 - 04@&(고전 2:12 성령)		Do not conform any longer to the pattern of this world, but be transformed by the renewing of your mind. Then you will be able to test and approve what God's will is--his good, pleasing and perfect will.
고전15:58	견고함	그러므로 내 사랑하는 형제들아, 견고하며 흔들리지 말며 항상 주의 일에 더욱 힘쓰는 자들이 되라. 이는 너희 수고가 주 안에서 헛되지 않은 줄을 앎이니라.	D. 그리스도 제자의 자격 - 05		Therefore, my dear brothers, stand firm. Let nothing move you. Always give yourselves fully to the work of the Lord, because you know that your labor in the Lord is not in vain. 
히12: 3	견고함	너희가 피곤하여 낙심치 않기 위하여 죄인들의 이같이 자기에게 거역한 일을 참으신 자를 생각하라.	D. 그리스도 제자의 자격 - 06	Consider him who endured such opposition from sinful men, so that you will not grow weary and lose heart.	
막10:45	다른 사람을 섬김	인자의 온 것은 섬김을 받으려 함이 아니라 도리어 섬기려 하고 자기 목숨을 많은 사람의 대속물로 주려 함이니라.	D. 그리스도 제자의 자격 - 07		For even the Son of Man did not come to be served, but to serve, and to give his life as a ransom for many. " 
고후 4: 5	다른 사람을 섬김	우리가 우리를 전파하는 것이 아니라 오직 그리스도 예수의 주 되신 것과 또 예수를 위하여 우리가 너희의 종 된 것을 전파함이라.	D. 그리스도 제자의 자격 - 08		For we do not preach ourselves, but Jesus Christ as Lord, and ourselves as your servants for Jesus' sake. 
잠 3: 9,10	후히 드릴 것	네 재물과 네 소산물의 처음 익은 열매로 여호와를 공경하라. 그리하면 네 창고가 가득히 차고 네 즙틀에 새 포도즙이 넘치리라.	D. 그리스도 제자의 자격 - 09	Honor the Lord with your wealth, with the firstfruits of all your crops; 	then your barns will be filled to overflowing, and your vats will brim over with new wine. 
고후 9: 6,7	후히 드릴 것	이것이 곧 적게 심는 자는 적게 거두고 많이 심는 자는 많이 거둔다 하는 말이로다. 각각 그 마음에 정한대로 할 것이요, 인색함으로나 억지로 하지 말찌니, 하나님은 즐겨 내는 자를 사랑하시느니라.	D. 그리스도 제자의 자격 - 10	Remember this: Whoever sows sparingly will also reap sparingly, and whoever sows generously will also reap generously.	Each man should give what he has decided in his heart to give, not reluctantly or under compulsion, for God loves a cheerful giver.
행 1: 8	세계비전	오직 성령이 너희에게 임하시면 너희가 권능을 받고 예루살렘과 온 유대와 사마리아와 땅끝까지 이르러 내 증인이 되리라 하시니라.	D. 그리스도 제자의 자격 - 11	But you will receive power when the Holy Spirit comes on you; and you will be my witnesses in Jerusalem, and in all Judea and Samaria, and to the ends of the earth. " 	
마28:19,20	세계비전	그러므로 너희는 가서 모든 족속으로 제자를 삼아 아버지와 아들과 성령의 이름으로 세례를 주고 내가 너희에게 분부한 모든 것을 가르쳐 지키게 하라. 볼찌어다, 내가 세상 끝날까지 너희와 항상 함께 있으리라 하시니라.	D. 그리스도 제자의 자격 - 12	Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, 	and teaching them to obey everything I have commanded you. And surely I am with you always, to the very end of the age. " 
요13:34,35	사랑	새 계명을 너희에게 주노니 서로 사랑하라 내가 너희를 사랑한 것같이 너희도 서로 사랑하라 너희가 서로 사랑하면 이로써 모든 사람이 너희가 내 제자인 줄 알리라 	E. 그리스도를 닮아감 - 01	" A new command I give you: Love one another. As I have loved you, so you must love one another. 	By this all men will know that you are my disciples, if you love one another. " 
요일 3:18	사랑	자녀들아 우리가 말과 혀로만 사랑하지 말고 오직 행함과 진실함으로 하자.	E. 그리스도를 닮아감 - 02		Dear children, let us not love with words or tongue but with actions and in truth. 
빌 2: 3,4	겸손	아무 일에든지 다툼이나 허영으로 하지 말고 오직 겸손한 마음으로 각각 자기보다 남을 낫게 여기고, 각각 자기 일을 돌아볼 뿐더러 또한 각각 다른 사람들의 일을 돌아보아 나의 기쁨을 충만케 하라 	E. 그리스도를 닮아감 - 03	Do nothing out of selfish ambition or vain conceit, but in humility consider others better than yourselves. 	Each of you should look not only to your own interests, but also to the interests of others.
벧전 5: 5,6	겸손	젊은 자들아, 이와 같이 장로들에게 순복하고 다 서로 겸손으로 허리를 동이라. 하나님이 교만한 자를 대적하시되 겸손한 자들에게는 은혜를 주시느니라. 그러므로 하나님의 능하신 손 아래서 겸손하라 때가 되면 너희를 높이시리라.	E. 그리스도를 닮아감 - 04	Young men, in the same way be submissive to those who are older. All of you, clothe yourselves with humility toward one another, because, " God opposes the proud but gives grace to the humble. " 	Humble yourselves, therefore, under God's mighty hand, that he may lift you up in due time.
엡 5: 3	순결	음행과 온갖 더러운 것과 탐욕은 너희 중에서 그 이름이라도 부르지 말라. 이는 성도의 마땅한 바니라. 	E. 그리스도를 닮아감 - 05		But among you there must not be even a hint of sexual immorality, or of any kind of impurity, or of greed, because these are improper for God's holy people.
벧전 2:11	순결	사랑하는 자들아, 나그네와 행인같은 너희를 권하노니 영혼을 거스려 싸우는 육체의 정욕을 제어하라. 	E. 그리스도를 닮아감 - 06	Dear friends, I urge you, as aliens and strangers in the world, to abstain from sinful desires, which war against your soul. 	
레19:11	정직	너희는 도적질하지 말며, 속이지 말며, 서로 거짓말하지 말며.	E. 그리스도를 닮아감 - 07	" 'Do not steal. " 'Do not lie. " 'Do not deceive one another. 	
행24:16*	정직	이것을 인하여 나도 하나님과 사람을 대하여 항상 양심에 거리낌이 없기를 힘쓰노라.	E. 그리스도를 닮아감 - 08	So I strive always to keep my conscience clear before God and man.	
히11: 6	믿음	믿음이 없이는 기쁘시게 못하나니, 하나님께 나아가는 자는 반드시 그가 계신 것과 또한 그가 자기를 찾는 자들에게 상 주시는 이심을 믿어야 할찌니라.	E. 그리스도를 닮아감 - 09	And without faith it is impossible to please God, because anyone who comes to him must believe that he exists and that he rewards those who earnestly seek him.	
롬 4:20,21	믿음	믿음이 없어 하나님의 약속을 의심치 않고, 믿음에 견고하여져서 하나님께 영광을 돌리며, 약속하신 그것을 또한 능히 이루실 줄을 확신하였으니.	E. 그리스도를 닮아감 - 10	Yet he did not waver through unbelief regarding the promise of God, but was strengthened in his faith and gave glory to God, 	being fully persuaded that God had power to do what he had promised. 
갈 6: 9,10	선행	우리가 선을 행하되 낙심하지 말찌니 피곤하지 아니하면 때가 이르매 거두리라. 그러므로 우리는 기회 있는대로 모든 이에게 착한 일을 하되 더욱 믿음의 가정들에게 할찌니라. 	E. 그리스도를 닮아감 - 11	Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up. 	Therefore, as we have opportunity, let us do good to all people, especially to those who belong to the family of believers. 
마 5:16	선행	이같이 너희 빛을 사람 앞에 비취게 하여 저희로 너희 착한 행실을 보고 하늘에 계신 너희 아버지께 영광을 돌리게 하라.	E. 그리스도를 닮아감 - 12	In the same way, let your light shine before men, that they may see your good deeds and praise your Father in heaven.	
